Run Type : Multiple_Random_Graph_Homo
Susceptible : [990.0, 977.1, 970.68, 963.1, 953.64, 941.78, 928.3, 912.22, 892.52, 871.16, 845.7, 815.3, 782.36, 744.28, 703.8, 658.1, 612.46, 562.1, 512.46, 462.66, 416.7, 372.78, 331.6, 295.02, 262.94, 235.2, 210.92, 189.9, 172.68, 158.34, 146.36, 136.72, 128.44, 121.56, 116.46, 112.18, 108.54, 105.46, 103.0, 101.16, 99.66, 98.42, 97.78, 96.9, 96.32, 95.88, 95.46, 95.22, 94.9, 94.7, 94.58]
Exposed : [0.0, 12.9, 14.82, 17.4, 20.58, 25.16, 30.24, 35.96, 43.86, 49.74, 57.02, 67.78, 76.94, 87.36, 96.7, 109.5, 116.4, 125.86, 132.42, 135.78, 135.66, 131.08, 127.66, 118.92, 109.56, 98.48, 88.04, 77.74, 68.74, 58.32, 49.84, 42.06, 36.16, 30.54, 24.78, 20.28, 16.7, 13.72, 10.98, 8.86, 7.1, 5.78, 4.38, 3.7, 3.24, 2.48, 2.08, 1.62, 1.28, 0.96, 0.66]
Asymptomatic : [0.0, 0.0, 2.8, 5.32, 7.86, 11.0, 14.38, 18.62, 23.38, 29.86, 37.36, 45.62, 55.32, 66.16, 77.86, 89.76, 102.92, 116.8, 130.9, 143.64, 155.44, 167.8, 176.9, 185.32, 190.5, 193.94, 194.86, 193.74, 190.36, 184.8, 178.1, 171.54, 161.76, 152.48, 143.16, 133.44, 124.06, 115.46, 107.18, 98.56, 90.58, 83.06, 76.1, 69.14, 62.42, 57.12, 52.34, 46.92, 42.74, 38.3, 34.68]
Symptomatic : [10.0, 8.62, 9.66, 11.02, 12.78, 14.46, 16.82, 20.02, 23.12, 27.36, 32.68, 37.84, 44.26, 50.9, 59.56, 67.58, 77.78, 88.48, 97.3, 108.0, 117.7, 126.74, 132.42, 138.44, 142.22, 145.18, 145.74, 144.42, 142.1, 138.82, 133.52, 126.9, 121.04, 113.48, 106.42, 99.8, 92.94, 86.1, 78.38, 72.04, 65.62, 60.08, 55.86, 51.0, 46.26, 41.92, 38.18, 34.6, 31.32, 28.42, 25.9]
Recovered : [0.0, 1.38, 2.04, 3.16, 5.14, 7.6, 10.26, 13.18, 17.12, 21.88, 27.24, 33.46, 41.12, 51.3, 62.08, 75.06, 90.44, 106.76, 126.92, 149.92, 174.5, 201.6, 231.42, 262.3, 294.78, 327.2, 360.44, 394.2, 426.12, 459.72, 492.18, 522.78, 552.6, 581.94, 609.18, 634.3, 657.76, 679.26, 700.46, 719.38, 737.04, 752.66, 765.88, 779.26, 791.76, 802.6, 811.94, 821.64, 829.76, 837.62, 844.18]

Susceptible : [990.0, 979.22, 972.68, 965.68, 956.82, 946.96, 934.48, 921.06, 903.98, 883.56, 859.86, 834.3, 805.24, 771.26, 735.78, 695.36, 655.1, 612.56, 569.04, 525.8, 482.7, 441.22, 402.88, 366.76, 331.88, 301.26, 273.36, 250.7, 230.54, 213.34, 198.44, 186.04, 175.62, 166.7, 159.28, 153.16, 148.34, 143.92, 140.58, 137.7, 135.4, 133.12, 131.76, 130.26, 128.92, 127.92, 127.06, 126.56, 126.08, 125.48, 125.06]
Exposed : [0.0, 10.78, 13.58, 15.9, 19.72, 22.72, 27.56, 30.94, 37.3, 44.54, 52.24, 59.22, 68.22, 78.52, 87.0, 97.12, 102.94, 109.48, 115.06, 118.34, 119.52, 119.34, 116.0, 110.98, 106.58, 99.3, 92.5, 81.94, 73.82, 65.22, 57.02, 49.3, 42.06, 36.14, 31.1, 25.8, 21.12, 18.4, 15.44, 12.82, 10.38, 9.28, 7.3, 6.12, 5.38, 4.36, 3.68, 3.02, 2.46, 2.18, 1.86]
Asymptomatic : [0.0, 0.0, 2.08, 4.4, 6.82, 10.1, 13.3, 17.8, 21.9, 26.52, 33.4, 40.8, 48.44, 57.36, 66.86, 77.0, 89.48, 101.2, 112.64, 124.64, 136.68, 146.22, 155.74, 162.62, 168.2, 173.52, 177.0, 178.96, 177.74, 174.4, 170.82, 165.56, 159.06, 152.66, 143.78, 135.54, 128.02, 120.28, 110.62, 102.98, 94.92, 87.3, 79.68, 73.7, 67.16, 61.62, 56.14, 51.12, 46.84, 42.74, 38.76]
Symptomatic : [10.0, 9.08, 9.86, 11.02, 12.12, 14.04, 16.1, 18.92, 21.78, 26.0, 29.94, 34.6, 39.64, 45.58, 52.28, 60.1, 68.82, 77.56, 86.54, 94.84, 103.52, 111.96, 119.12, 125.58, 129.3, 132.86, 134.24, 134.72, 133.04, 131.58, 127.94, 123.56, 118.66, 112.82, 107.4, 101.7, 95.2, 88.8, 82.32, 75.96, 70.36, 64.64, 60.22, 55.14, 50.74, 46.34, 42.36, 38.36, 34.86, 31.88, 29.18]
