test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,3,10,1000,0.003,0.02,0.02,1,1,2,170,0,5,0.1,0.1,239.8,1695.48,2550.0,247.02
1,1,3,10,1000,0.003,0.02,0.02,2,1,2,170,0,5,0.1,0.1,150.88,3398.76,2550.0,600.66
1,1,3,10,1000,0.003,0.02,0.02,3,2,2,170,0,5,0.1,0.1,197.42,892.88,2550.0,90.74
1,1,3,10,1000,0.003,0.02,0.02,4,2,2,170,0,5,0.1,0.1,177.18,1237.32,2550.0,150.2
1,1,3,10,1000,0.003,0.02,0.02,5,2,2,170,0,5,0.1,0.1,151.96,1565.8,2550.0,220.08
1,1,3,10,1000,0.003,0.02,0.02,5,3,2,170,0,5,0.1,0.1,219.96,733.72,2550.0,51.62
1,1,3,10,1000,0.003,0.02,0.02,6,2,2,170,0,5,0.1,0.1,130.6,1879.72,2550.0,293.3
1,1,3,10,1000,0.003,0.02,0.02,6,3,2,170,0,5,0.1,0.1,192.88,842.64,2550.0,70.14
1,1,3,10,1000,0.003,0.02,0.05,1,1,2,170,0,5,0.1,0.1,173.3,1563.08,2550.0,247.72
1,1,3,10,1000,0.003,0.02,0.05,2,1,2,170,0,5,0.1,0.1,98.84,3076.64,2550.0,576.08
1,1,3,10,1000,0.003,0.02,0.05,3,2,2,170,0,5,0.1,0.1,153.52,670.16,2550.0,70.78
1,1,3,10,1000,0.003,0.02,0.05,4,2,2,170,0,5,0.1,0.1,126.64,881.36,2550.0,107.86
1,1,3,10,1000,0.003,0.02,0.05,5,2,2,170,0,5,0.1,0.1,97.32,1043.4,2550.0,146.2
1,1,3,10,1000,0.003,0.02,0.05,5,3,2,170,0,5,0.1,0.1,140.24,416.16,2550.0,23.46
1,1,3,10,1000,0.003,0.02,0.05,6,2,2,170,0,5,0.1,0.1,91.32,1322.52,2550.0,207.88
1,1,3,10,1000,0.003,0.02,0.05,6,3,2,170,0,5,0.1,0.1,124.78,466.52,2550.0,29.28
1,1,3,10,1000,0.003,0.02,0.08,1,1,2,170,0,5,0.1,0.1,104.48,1474.56,2550.0,254.66
1,1,3,10,1000,0.003,0.02,0.08,2,1,2,170,0,5,0.1,0.1,69.34,2864.88,2550.0,555.22
1,1,3,10,1000,0.003,0.02,0.08,3,2,2,170,0,5,0.1,0.1,102.34,502.76,2550.0,59.5
1,1,3,10,1000,0.003,0.02,0.08,4,2,2,170,0,5,0.1,0.1,88.88,658.48,2550.0,86.26
1,1,3,10,1000,0.003,0.02,0.08,5,2,2,170,0,5,0.1,0.1,70.7,782.16,2550.0,116.5
1,1,3,10,1000,0.003,0.02,0.08,5,3,2,170,0,5,0.1,0.1,99.82,278.6,2550.0,15.06
1,1,3,10,1000,0.003,0.02,0.08,6,2,2,170,0,5,0.1,0.1,67.94,940.68,2550.0,151.32
1,1,3,10,1000,0.003,0.02,0.08,6,3,2,170,0,5,0.1,0.1,89.4,312.96,2550.0,18.64
1,1,3,10,1000,0.003,0.02,0.11,1,1,2,170,0,5,0.1,0.1,73.06,1413.76,2550.0,253.16
1,1,3,10,1000,0.003,0.02,0.11,2,1,2,170,0,5,0.1,0.1,62.36,2701.88,2550.0,532.9
1,1,3,10,1000,0.003,0.02,0.11,3,2,2,170,0,5,0.1,0.1,74.42,389.76,2550.0,50.42
1,1,3,10,1000,0.003,0.02,0.11,4,2,2,170,0,5,0.1,0.1,72.32,539.68,2550.0,74.74
1,1,3,10,1000,0.003,0.02,0.11,5,2,2,170,0,5,0.1,0.1,59.58,634.76,2550.0,99.4
1,1,3,10,1000,0.003,0.02,0.11,5,3,2,170,0,5,0.1,0.1,74.08,208.44,2550.0,12.7
1,1,3,10,1000,0.003,0.02,0.11,6,2,2,170,0,5,0.1,0.1,54.22,757.4,2550.0,127.56
1,1,3,10,1000,0.003,0.02,0.11,6,3,2,170,0,5,0.1,0.1,64.5,207.52,2550.0,12.88
1,1,3,10,1000,0.003,0.02,0.14,1,1,2,170,0,5,0.1,0.1,57.78,1375.16,2550.0,252.36
1,1,3,10,1000,0.003,0.02,0.14,2,1,2,170,0,5,0.1,0.1,50.06,2622.2,2550.0,525.84
1,1,3,10,1000,0.003,0.02,0.14,3,2,2,170,0,5,0.1,0.1,56.78,334.76,2550.0,46.98
1,1,3,10,1000,0.003,0.02,0.14,4,2,2,170,0,5,0.1,0.1,53.28,437.36,2550.0,66.72
