test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,3,0.1,0.1,649.98,1251.42,65025.0,229.56
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,3,0.1,0.1,417.54,2552.56,65025.0,706.06
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,3,0.1,0.1,593.8,1263.06,65025.0,198.1
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,3,0.1,0.1,520.74,1727.54,65025.0,351.34
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,3,0.1,0.1,390.42,1753.4,65025.0,421.54
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,3,0.1,0.1,604.72,1300.92,65025.0,210.46
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,170,0,3,0.1,0.1,274.2,1682.96,65025.0,453.8
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,170,0,3,0.1,0.1,551.36,1564.52,65025.0,300.52
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,4,0.1,0.1,630.6,1578.08,65025.0,230.04
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,4,0.1,0.1,352.34,2883.6,65025.0,671.76
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,4,0.1,0.1,574.64,1525.08,65025.0,191.66
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,4,0.1,0.1,428.16,1674.48,65025.0,275.32
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,170,0,4,0.1,0.1,313.02,1730.04,65025.0,342.64
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,170,0,4,0.1,0.1,575.22,1471.04,65025.0,185.24
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,170,0,4,0.1,0.1,206.72,1565.8,65025.0,353.94
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,170,0,4,0.1,0.1,511.08,1710.2,65025.0,257.08
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.1,0.1,604.22,1821.3,65025.0,236.32
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.1,0.1,300.04,3052.28,65025.0,652.76
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.1,0.1,551.72,1685.34,65025.0,184.0
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.1,0.1,399.02,1790.46,65025.0,267.48
