test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.02,0.02,1,1,2,90,0,6,0.1,0.1,28.82,782.76,34425.0,135.2
1,1,1,20,1000,0.003,0.02,0.02,2,1,2,90,0,6,0.1,0.1,20.96,1493.68,34425.0,289.02
1,1,1,20,1000,0.003,0.02,0.02,3,2,2,90,0,6,0.1,0.1,24.44,246.76,34425.0,29.76
1,1,1,20,1000,0.003,0.02,0.02,4,2,2,90,0,6,0.1,0.1,22.28,340.72,34425.0,44.56
1,1,1,20,1000,0.003,0.02,0.02,5,2,2,90,0,6,0.1,0.1,21.74,438.68,34425.0,64.84
1,1,1,20,1000,0.003,0.02,0.02,5,3,2,90,0,6,0.1,0.1,25.34,138.24,34425.0,7.08
1,1,1,20,1000,0.003,0.02,0.02,6,2,2,90,0,6,0.1,0.1,20.46,528.96,34425.0,85.84
1,1,1,20,1000,0.003,0.02,0.02,6,3,2,90,0,6,0.1,0.1,23.72,167.92,34425.0,10.68
1,1,1,20,1000,0.003,0.02,0.05,1,1,2,90,0,6,0.1,0.1,22.1,747.8,34425.0,132.9
1,1,1,20,1000,0.003,0.02,0.05,2,1,2,90,0,6,0.1,0.1,17.28,1459.56,34425.0,289.54
1,1,1,20,1000,0.003,0.02,0.05,3,2,2,90,0,6,0.1,0.1,19.54,200.12,34425.0,26.98
1,1,1,20,1000,0.003,0.02,0.05,4,2,2,90,0,6,0.1,0.1,19.78,261.44,34425.0,37.94
1,1,1,20,1000,0.003,0.02,0.05,5,2,2,90,0,6,0.1,0.1,17.52,356.44,34425.0,56.2
1,1,1,20,1000,0.003,0.02,0.05,5,3,2,90,0,6,0.1,0.1,22.38,106.36,34425.0,5.88
1,1,1,20,1000,0.003,0.02,0.05,6,2,2,90,0,6,0.1,0.1,16.7,433.72,34425.0,74.08
1,1,1,20,1000,0.003,0.02,0.05,6,3,2,90,0,6,0.1,0.1,18.88,107.36,34425.0,6.46
1,1,1,20,1000,0.003,0.02,0.08,1,1,2,90,0,6,0.1,0.1,16.74,728.08,34425.0,134.86
1,1,1,20,1000,0.003,0.02,0.08,2,1,2,90,0,6,0.1,0.1,15.72,1379.48,34425.0,277.92
1,1,1,20,1000,0.003,0.02,0.08,3,2,2,90,0,6,0.1,0.1,18.2,181.4,34425.0,25.26
1,1,1,20,1000,0.003,0.02,0.08,4,2,2,90,0,6,0.1,0.1,17.3,226.6,34425.0,34.36
1,1,1,20,1000,0.003,0.02,0.08,5,2,2,90,0,6,0.1,0.1,15.5,283.64,34425.0,46.44
1,1,1,20,1000,0.003,0.02,0.08,5,3,2,90,0,6,0.1,0.1,16.46,65.56,34425.0,4.0
1,1,1,20,1000,0.003,0.02,0.08,6,2,2,90,0,6,0.1,0.1,15.78,371.84,34425.0,65.84
1,1,1,20,1000,0.003,0.02,0.08,6,3,2,90,0,6,0.1,0.1,15.92,86.24,34425.0,5.94
1,1,1,20,1000,0.003,0.02,0.11,1,1,2,90,0,6,0.1,0.1,14.84,727.88,34425.0,137.34
1,1,1,20,1000,0.003,0.02,0.11,2,1,2,90,0,6,0.1,0.1,14.52,1369.04,34425.0,278.64
1,1,1,20,1000,0.003,0.02,0.11,3,2,2,90,0,6,0.1,0.1,15.58,158.8,34425.0,23.82
1,1,1,20,1000,0.003,0.02,0.11,4,2,2,90,0,6,0.1,0.1,13.7,204.68,34425.0,34.24
1,1,1,20,1000,0.003,0.02,0.11,5,2,2,90,0,6,0.1,0.1,14.58,260.44,34425.0,45.46
1,1,1,20,1000,0.003,0.02,0.11,5,3,2,90,0,6,0.1,0.1,15.7,51.6,34425.0,3.7
1,1,1,20,1000,0.003,0.02,0.11,6,2,2,90,0,6,0.1,0.1,13.92,301.2,34425.0,55.54
1,1,1,20,1000,0.003,0.02,0.11,6,3,2,90,0,6,0.1,0.1,14.86,61.64,34425.0,4.48
1,1,1,20,1000,0.003,0.02,0.14,1,1,2,90,0,6,0.1,0.1,14.2,709.56,34425.0,133.74
1,1,1,20,1000,0.003,0.02,0.14,2,1,2,90,0,6,0.1,0.1,13.5,1353.28,34425.0,280.1
1,1,1,20,1000,0.003,0.02,0.14,3,2,2,90,0,6,0.1,0.1,14.34,143.64,34425.0,22.88
1,1,1,20,1000,0.003,0.02,0.14,4,2,2,90,0,6,0.1,0.1,14.14,179.6,34425.0,30.4
1,1,1,20,1000,0.003,0.02,0.14,5,2,2,90,0,6,0.1,0.1,13.32,226.56,34425.0,41.1
1,1,1,20,1000,0.003,0.02,0.14,5,3,2,90,0,6,0.1,0.1,14.48,46.8,34425.0,3.1
1,1,1,20,1000,0.003,0.02,0.14,6,2,2,90,0,6,0.1,0.1,12.72,282.36,34425.0,55.14
1,1,1,20,1000,0.003,0.02,0.14,6,3,2,90,0,6,0.1,0.1,14.08,53.2,34425.0,4.38
1,1,1,20,1000,0.003,0.02,0.17,1,1,2,90,0,6,0.1,0.1,13.36,702.2,34425.0,132.94
1,1,1,20,1000,0.003,0.02,0.17,2,1,2,90,0,6,0.1,0.1,12.82,1320.84,34425.0,275.06
1,1,1,20,1000,0.003,0.02,0.17,3,2,2,90,0,6,0.1,0.1,12.84,135.4,34425.0,21.98
1,1,1,20,1000,0.003,0.02,0.17,4,2,2,90,0,6,0.1,0.1,12.78,173.56,34425.0,30.3
1,1,1,20,1000,0.003,0.02,0.17,5,2,2,90,0,6,0.1,0.1,12.54,218.72,34425.0,40.48
1,1,1,20,1000,0.003,0.02,0.17,5,3,2,90,0,6,0.1,0.1,13.78,37.32,34425.0,3.14
1,1,1,20,1000,0.003,0.02,0.17,6,2,2,90,0,6,0.1,0.1,12.52,256.52,34425.0,50.84
1,1,1,20,1000,0.003,0.02,0.17,6,3,2,90,0,6,0.1,0.1,13.22,44.88,34425.0,3.68
1,1,1,20,1000,0.003,0.02,0.2,1,1,2,90,0,6,0.1,0.1,12.94,708.6,34425.0,135.52
1,1,1,20,1000,0.003,0.02,0.2,2,1,2,90,0,6,0.1,0.1,12.5,1275.0,34425.0,266.24
1,1,1,20,1000,0.003,0.02,0.2,3,2,2,90,0,6,0.1,0.1,13.06,129.64,34425.0,22.52
1,1,1,20,1000,0.003,0.02,0.2,4,2,2,90,0,6,0.1,0.1,12.68,177.12,34425.0,32.3
1,1,1,20,1000,0.003,0.02,0.2,5,2,2,90,0,6,0.1,0.1,12.92,212.12,34425.0,40.74
1,1,1,20,1000,0.003,0.02,0.2,5,3,2,90,0,6,0.1,0.1,12.94,35.56,34425.0,3.22
1,1,1,20,1000,0.003,0.02,0.2,6,2,2,90,0,6,0.1,0.1,11.92,247.36,34425.0,49.04
1,1,1,20,1000,0.003,0.02,0.2,6,3,2,90,0,6,0.1,0.1,12.86,44.2,34425.0,4.4
1,1,1,20,1000,0.003,0.02,0.23,1,1,2,90,0,6,0.1,0.1,12.72,707.12,34425.0,135.44
1,1,1,20,1000,0.003,0.02,0.23,2,1,2,90,0,6,0.1,0.1,12.32,1307.76,34425.0,273.3
1,1,1,20,1000,0.003,0.02,0.23,3,2,2,90,0,6,0.1,0.1,12.4,121.76,34425.0,21.54
