test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,3,0.1,0.1,716.98,741.54,34425.0,121.3
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,3,0.1,0.1,636.04,1805.58,34425.0,420.0
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,3,0.1,0.1,694.68,849.46,34425.0,129.02
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,3,0.1,0.1,650.82,1278.14,34425.0,246.96
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,3,0.1,0.1,612.08,1762.08,34425.0,399.18
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,3,0.1,0.1,687.28,901.0,34425.0,147.32
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,3,0.1,0.1,544.94,2105.24,34425.0,525.86
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,3,0.1,0.1,672.8,1206.26,34425.0,233.28
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,4,0.1,0.1,703.98,935.36,34425.0,119.84
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,4,0.1,0.1,575.12,2175.32,34425.0,413.0
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,4,0.1,0.1,671.4,1089.24,34425.0,128.76
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,4,0.1,0.1,631.88,1576.36,34425.0,238.82
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,4,0.1,0.1,565.0,1991.64,34425.0,355.12
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,4,0.1,0.1,665.34,1078.88,34425.0,133.56
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,4,0.1,0.1,505.42,2401.72,34425.0,480.32
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,4,0.1,0.1,638.18,1426.92,34425.0,210.74
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,5,0.1,0.1,688.04,1109.76,34425.0,120.42
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,5,0.1,0.1,553.6,2451.02,34425.0,399.9
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,5,0.1,0.1,665.34,1281.96,34425.0,127.02
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,5,0.1,0.1,603.14,1776.5,34425.0,228.56
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,5,0.1,0.1,547.22,2239.16,34425.0,345.1
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,5,0.1,0.1,655.4,1250.32,34425.0,130.92
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,5,0.1,0.1,471.28,2528.1,34425.0,441.92
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,5,0.1,0.1,631.5,1655.74,34425.0,210.64
