test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.02,0.02,1,1,2,90,0,6,0.1,0.1,28.03,776.36,68175.0,134.42
1,1,1,20,1000,0.003,0.02,0.02,2,1,2,90,0,6,0.1,0.1,21.53,1496.44,68175.0,289.94
1,1,1,20,1000,0.003,0.02,0.02,3,2,2,90,0,6,0.1,0.1,25.93,267.22,68175.0,31.49
1,1,1,20,1000,0.003,0.02,0.02,4,2,2,90,0,6,0.1,0.1,24.28,348.72,68175.0,47.24
1,1,1,20,1000,0.003,0.02,0.02,5,2,2,90,0,6,0.1,0.1,21.44,438.98,68175.0,65.05
1,1,1,20,1000,0.003,0.02,0.02,5,3,2,90,0,6,0.1,0.1,26.15,142.28,68175.0,7.43
1,1,1,20,1000,0.003,0.02,0.02,6,2,2,90,0,6,0.1,0.1,19.83,543.9,68175.0,88.54
1,1,1,20,1000,0.003,0.02,0.02,6,3,2,90,0,6,0.1,0.1,25.56,172.22,68175.0,10.38
1,1,1,20,1000,0.003,0.02,0.05,1,1,2,90,0,6,0.1,0.1,20.98,741.68,68175.0,132.87
1,1,1,20,1000,0.003,0.02,0.05,2,1,2,90,0,6,0.1,0.1,18.63,1435.66,68175.0,286.32
1,1,1,20,1000,0.003,0.02,0.05,3,2,2,90,0,6,0.1,0.1,19.58,203.32,68175.0,26.27
1,1,1,20,1000,0.003,0.02,0.05,4,2,2,90,0,6,0.1,0.1,18.62,271.5,68175.0,39.65
1,1,1,20,1000,0.003,0.02,0.05,5,2,2,90,0,6,0.1,0.1,17.59,346.8,68175.0,54.88
1,1,1,20,1000,0.003,0.02,0.05,5,3,2,90,0,6,0.1,0.1,19.85,94.96,68175.0,5.1
1,1,1,20,1000,0.003,0.02,0.05,6,2,2,90,0,6,0.1,0.1,16.9,419.32,68175.0,71.07
1,1,1,20,1000,0.003,0.02,0.05,6,3,2,90,0,6,0.1,0.1,19.42,115.46,68175.0,7.46
1,1,1,20,1000,0.003,0.02,0.08,1,1,2,90,0,6,0.1,0.1,17.68,730.36,68175.0,134.71
1,1,1,20,1000,0.003,0.02,0.08,2,1,2,90,0,6,0.1,0.1,15.99,1391.3,68175.0,281.28
1,1,1,20,1000,0.003,0.02,0.08,3,2,2,90,0,6,0.1,0.1,17.24,168.72,68175.0,24.54
1,1,1,20,1000,0.003,0.02,0.08,4,2,2,90,0,6,0.1,0.1,16.91,232.08,68175.0,35.61
1,1,1,20,1000,0.003,0.02,0.08,5,2,2,90,0,6,0.1,0.1,14.99,282.56,68175.0,47.46
1,1,1,20,1000,0.003,0.02,0.08,5,3,2,90,0,6,0.1,0.1,17.91,73.98,68175.0,4.25
1,1,1,20,1000,0.003,0.02,0.08,6,2,2,90,0,6,0.1,0.1,14.7,347.18,68175.0,61.53
1,1,1,20,1000,0.003,0.02,0.08,6,3,2,90,0,6,0.1,0.1,17.29,81.2,68175.0,5.56
