test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.001,0.25,0.2,1,1,2,90,0,6,0.1,0.1,21.67,711.58,68175.0,134.0
1,1,1,20,1000,0.001,0.25,0.2,2,1,2,90,0,6,0.1,0.1,19.93,1343.94,68175.0,276.67
1,1,1,20,1000,0.001,0.25,0.2,3,2,2,90,0,6,0.1,0.1,20.64,146.38,68175.0,23.6
1,1,1,20,1000,0.001,0.25,0.2,4,2,2,90,0,6,0.1,0.1,19.05,189.52,68175.0,32.15
1,1,1,20,1000,0.001,0.25,0.2,5,2,2,90,0,6,0.1,0.1,19.82,243.82,68175.0,43.11
1,1,1,20,1000,0.001,0.25,0.2,5,3,2,90,0,6,0.1,0.1,21.1,49.2,68175.0,3.66
1,1,1,20,1000,0.001,0.25,0.2,6,2,2,90,0,6,0.1,0.1,18.54,275.4,68175.0,52.1
1,1,1,20,1000,0.001,0.25,0.2,6,3,2,90,0,6,0.1,0.1,22.01,59.2,68175.0,4.84
1,1,1,20,1000,0.0015,0.25,0.2,1,1,2,90,0,6,0.1,0.1,43.44,731.12,68175.0,132.97
1,1,1,20,1000,0.0015,0.25,0.2,2,1,2,90,0,6,0.1,0.1,30.39,1383.02,68175.0,281.23
1,1,1,20,1000,0.0015,0.25,0.2,3,2,2,90,0,6,0.1,0.1,36.68,177.18,68175.0,24.41
1,1,1,20,1000,0.0015,0.25,0.2,4,2,2,90,0,6,0.1,0.1,36.74,234.68,68175.0,36.51
1,1,1,20,1000,0.0015,0.25,0.2,5,2,2,90,0,6,0.1,0.1,33.14,292.84,68175.0,48.47
1,1,1,20,1000,0.0015,0.25,0.2,5,3,2,90,0,6,0.1,0.1,39.02,78.76,68175.0,4.92
1,1,1,20,1000,0.0015,0.25,0.2,6,2,2,90,0,6,0.1,0.1,30.15,335.3,68175.0,58.78
1,1,1,20,1000,0.0015,0.25,0.2,6,3,2,90,0,6,0.1,0.1,38.83,89.68,68175.0,6.37
1,1,1,20,1000,0.002,0.25,0.2,1,1,2,90,0,6,0.1,0.1,149.69,814.32,68175.0,133.95
1,1,1,20,1000,0.002,0.25,0.2,2,1,2,90,0,6,0.1,0.1,97.85,1566.84,68175.0,296.82
1,1,1,20,1000,0.002,0.25,0.2,3,2,2,90,0,6,0.1,0.1,145.38,342.62,68175.0,35.75
1,1,1,20,1000,0.002,0.25,0.2,4,2,2,90,0,6,0.1,0.1,112.48,427.92,68175.0,54.32
1,1,1,20,1000,0.002,0.25,0.2,5,2,2,90,0,6,0.1,0.1,96.23,514.04,68175.0,73.94
1,1,1,20,1000,0.002,0.25,0.2,5,3,2,90,0,6,0.1,0.1,142.72,218.5,68175.0,11.58
1,1,1,20,1000,0.002,0.25,0.2,6,2,2,90,0,6,0.1,0.1,74.89,556.14,68175.0,90.32
1,1,1,20,1000,0.002,0.25,0.2,6,3,2,90,0,6,0.1,0.1,128.45,266.1,68175.0,18.01
1,1,1,20,1000,0.0025,0.25,0.2,1,1,2,90,0,6,0.1,0.1,368.52,977.92,68175.0,130.82
1,1,1,20,1000,0.0025,0.25,0.2,2,1,2,90,0,6,0.1,0.1,213.22,1845.48,68175.0,322.48
