test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,3,0.1,0.1,715.97,731.87,68175.0,120.54
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,3,0.1,0.1,625.8,1803.84,68175.0,421.97
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,3,0.1,0.1,687.97,861.11,68175.0,130.4
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,3,0.1,0.1,650.14,1297.72,68175.0,253.12
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,3,0.1,0.1,608.35,1753.71,68175.0,397.32
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,3,0.1,0.1,685.13,897.51,68175.0,147.33
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,3,0.1,0.1,554.37,2149.06,68175.0,538.7
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,3,0.1,0.1,673.51,1233.07,68175.0,239.63
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,4,0.1,0.1,696.57,929.4,68175.0,119.86
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,4,0.1,0.1,578.3,2146.38,68175.0,406.76
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,4,0.1,0.1,673.46,1051.76,68175.0,123.26
1,1,1,20,1000,0.003,0.25,0.2,4,2,2,90,0,4,0.1,0.1,617.69,1552.86,68175.0,236.34
1,1,1,20,1000,0.003,0.25,0.2,5,2,2,90,0,4,0.1,0.1,575.72,2050.84,68175.0,366.03
1,1,1,20,1000,0.003,0.25,0.2,5,3,2,90,0,4,0.1,0.1,670.66,1090.54,68175.0,134.67
1,1,1,20,1000,0.003,0.25,0.2,6,2,2,90,0,4,0.1,0.1,515.15,2445.14,68175.0,487.21
1,1,1,20,1000,0.003,0.25,0.2,6,3,2,90,0,4,0.1,0.1,648.7,1468.3,68175.0,219.8
1,1,1,20,1000,0.003,0.25,0.2,1,1,2,90,0,5,0.1,0.1,687.43,1104.3,68175.0,120.93
1,1,1,20,1000,0.003,0.25,0.2,2,1,2,90,0,5,0.1,0.1,560.22,2483.47,68175.0,406.78
1,1,1,20,1000,0.003,0.25,0.2,3,2,2,90,0,5,0.1,0.1,660.71,1254.32,68175.0,123.26
