test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.0,1959.52,2276.08,2550.0,0.0
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.0,1888.14,6683.36,2550.0,543.74
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.0,1917.18,4801.68,2550.0,310.22
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.0,1866.1,7209.8,2550.0,651.36
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.0,1796.92,9801.6,2550.0,1089.5
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.0,1886.22,6145.12,2550.0,523.86
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.0,1715.32,12231.68,2550.0,1596.96
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.0,1849.28,7927.48,2550.0,796.64
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.03,1958.04,2587.12,2550.0,64.12
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.03,1885.8,7311.92,2550.0,668.54
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.03,1912.46,4952.08,2550.0,338.76
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.03,1863.02,7421.88,2550.0,693.08
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.03,1793.3,9944.96,2550.0,1132.24
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.03,1885.28,6235.76,2550.0,546.92
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.03,1718.32,12568.2,2550.0,1667.06
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.03,1843.0,8032.36,2550.0,816.1
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.06,1956.34,2940.44,2550.0,129.9
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.06,1881.48,7805.6,2550.0,779.68
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.06,1913.08,5125.16,2550.0,367.28
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.06,1861.52,7619.04,2550.0,736.0
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.06,1789.4,10319.36,2550.0,1206.3
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.06,1882.08,6375.08,2550.0,570.96
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.06,1706.02,12818.64,2550.0,1734.34
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.06,1843.22,8170.28,2550.0,842.76
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.09,1952.88,3239.84,2550.0,194.26
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.09,1875.2,8315.44,2550.0,889.78
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.09,1912.32,5291.8,2550.0,401.32
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.09,1857.72,7847.96,2550.0,778.7
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.09,1791.0,10514.6,2550.0,1257.84
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.09,1878.96,6511.8,2550.0,591.34
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.09,1704.28,13236.2,2550.0,1827.64
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.09,1838.7,8310.64,2550.0,877.24
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.12,1950.08,3532.52,2550.0,256.36
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.12,1873.64,8805.12,2550.0,994.34
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.12,1910.78,5452.76,2550.0,433.58
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.12,1856.34,8090.12,2550.0,831.52
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.12,1786.1,10745.76,2550.0,1316.14
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.12,1877.08,6613.6,2550.0,613.56
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.12,1700.7,13701.6,2550.0,1936.06
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.12,1837.44,8578.8,2550.0,929.24
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.15,1946.86,3896.2,2550.0,322.5
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.15,1864.66,9363.6,2550.0,1122.9
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.15,1905.58,5680.84,2550.0,484.22
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.15,1849.14,8372.88,2550.0,895.18
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.15,1783.14,11087.52,2550.0,1383.88
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.15,1877.32,6754.84,2550.0,644.78
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.15,1701.66,13876.04,2550.0,1997.34
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.0,0.15,1836.96,8594.16,2550.0,940.94
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.0,0.18,1946.6,4229.32,2550.0,387.86
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.0,0.18,1861.72,9854.4,2550.0,1227.72
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.0,0.18,1904.76,5901.72,2550.0,524.44
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.0,0.18,1850.0,8638.2,2550.0,954.0
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.0,0.18,1777.1,11530.84,2550.0,1490.46
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.0,0.18,1877.02,6871.64,2550.0,667.74
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.0,0.18,1684.16,14216.24,2550.0,2078.12
