test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,3,0.15,0.1,690.38,1123.7,57375.0,199.84
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,3,0.15,0.1,475.64,2343.88,57375.0,629.08
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,3,0.15,0.1,648.64,1151.06,57375.0,182.18
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,3,0.15,0.1,583.34,1578.8,57375.0,320.74
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,3,0.15,0.1,501.4,1979.86,57375.0,473.4
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,3,0.15,0.1,657.4,1131.1,57375.0,186.16
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,3,0.15,0.1,419.02,2167.76,57375.0,577.62
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,3,0.15,0.1,627.7,1437.0,57375.0,283.24
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,4,0.15,0.1,654.78,1396.68,57375.0,203.16
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,4,0.15,0.1,436.66,2764.64,57375.0,610.16
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,4,0.15,0.1,604.42,1344.32,57375.0,170.34
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,4,0.15,0.1,550.52,1905.08,57375.0,314.2
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,4,0.15,0.1,442.92,2085.04,57375.0,405.72
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,4,0.15,0.1,629.02,1293.2,57375.0,163.64
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,4,0.15,0.1,353.62,2145.12,57375.0,476.2
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,4,0.15,0.1,587.06,1655.04,57375.0,261.56
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,5,0.15,0.1,639.16,1663.46,57375.0,207.06
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,5,0.15,0.1,366.94,2921.18,57375.0,587.36
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,5,0.15,0.1,602.72,1554.58,57375.0,170.68
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,5,0.15,0.1,508.34,1988.3,57375.0,286.68
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,5,0.15,0.1,420.46,2241.64,57375.0,391.44
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,5,0.15,0.1,606.76,1471.26,57375.0,161.74
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,5,0.15,0.1,348.28,2316.38,57375.0,471.52
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,5,0.15,0.1,571.46,1748.32,57375.0,238.96
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,6,0.15,0.1,602.48,1802.48,57375.0,205.78
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,6,0.15,0.1,351.62,3243.72,57375.0,589.12
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,6,0.15,0.1,561.1,1612.12,57375.0,154.86
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,6,0.15,0.1,505.52,2179.88,57375.0,282.18
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,6,0.15,0.1,403.84,2352.4,57375.0,376.96
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,6,0.15,0.1,600.92,1586.8,57375.0,154.3
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,6,0.15,0.1,308.8,2331.52,57375.0,436.76
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,6,0.15,0.1,555.3,1948.84,57375.0,238.72
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,7,0.15,0.1,618.36,2039.62,57375.0,204.58
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,7,0.15,0.1,350.96,3406.92,57375.0,583.66
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,7,0.15,0.1,576.74,1799.28,57375.0,160.34
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,7,0.15,0.1,471.7,2149.82,57375.0,263.88
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,7,0.15,0.1,386.02,2290.98,57375.0,351.52
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,7,0.15,0.1,582.8,1671.8,57375.0,148.82
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,7,0.15,0.1,295.42,2302.92,57375.0,414.48
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,7,0.15,0.1,540.58,1922.94,57375.0,217.0
1,1,1,15,1000,0.003,0.25,0.2,1,1,2,150,0,8,0.15,0.1,592.8,2176.4,57375.0,204.22
1,1,1,15,1000,0.003,0.25,0.2,2,1,2,150,0,8,0.15,0.1,308.74,3463.52,57375.0,569.64
1,1,1,15,1000,0.003,0.25,0.2,3,2,2,150,0,8,0.15,0.1,576.46,1939.12,57375.0,162.66
1,1,1,15,1000,0.003,0.25,0.2,4,2,2,150,0,8,0.15,0.1,486.6,2320.44,57375.0,270.2
1,1,1,15,1000,0.003,0.25,0.2,5,2,2,150,0,8,0.15,0.1,367.86,2411.56,57375.0,351.06
1,1,1,15,1000,0.003,0.25,0.2,5,3,2,150,0,8,0.15,0.1,591.1,1828.96,57375.0,153.32
1,1,1,15,1000,0.003,0.25,0.2,6,2,2,150,0,8,0.15,0.1,274.64,2189.52,57375.0,387.58
1,1,1,15,1000,0.003,0.25,0.2,6,3,2,150,0,8,0.15,0.1,542.18,2109.84,57375.0,224.62
