test_cost,fp_cost,quarantine_cost,infection_cost,n,p,beta,gamma,napt,ntpa,testing_gap,tests_per_period,turnaround_time,restriction_time,fn,fp,total_infection,total_quarantined_days,total_test_cost,total_false_positives
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,3,0.1,0.1,616.72,1556.28,2550.0,230.78
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,3,0.1,0.1,340.76,2866.72,2550.0,670.82
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,3,0.1,0.1,548.22,1474.32,2550.0,184.86
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,3,0.1,0.1,447.34,1802.8,2550.0,295.5
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,3,0.1,0.1,323.22,1720.04,2550.0,341.88
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,3,0.1,0.1,564.3,1448.76,2550.0,181.36
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,3,0.1,0.1,199.4,1440.76,2550.0,326.86
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,3,0.1,0.1,501.7,1666.08,2550.0,249.26
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,4,0.1,0.1,602.86,1803.78,2550.0,231.34
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,4,0.1,0.1,296.24,3029.16,2550.0,650.36
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,4,0.1,0.1,547.08,1669.26,2550.0,184.4
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,4,0.1,0.1,393.28,1707.88,2550.0,252.14
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,4,0.1,0.1,279.6,1712.74,2550.0,310.2
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,4,0.1,0.1,554.02,1586.72,2550.0,174.76
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,4,0.1,0.1,185.7,1552.94,2550.0,327.76
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,4,0.1,0.1,488.32,1816.86,2550.0,242.6
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,5,0.1,0.1,580.08,2042.12,2550.0,237.38
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,5,0.1,0.1,256.1,3207.12,2550.0,634.78
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,5,0.1,0.1,537.74,1842.4,2550.0,179.14
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,5,0.1,0.1,372.68,1848.56,2550.0,250.36
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,5,0.1,0.1,285.52,1932.2,2550.0,324.2
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,5,0.1,0.1,522.36,1675.88,2550.0,160.66
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,5,0.1,0.1,161.18,1452.56,2550.0,290.12
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,5,0.1,0.1,449.88,1766.52,2550.0,204.16
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,6,0.1,0.1,561.9,2192.14,2550.0,232.8
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,6,0.1,0.1,234.52,3241.06,2550.0,619.82
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,6,0.1,0.1,504.58,1845.54,2550.0,167.32
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,6,0.1,0.1,366.72,1865.88,2550.0,236.48
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,6,0.1,0.1,238.04,1640.92,2550.0,265.56
1,1,3,10,1000,0.003,0.25,0.2,5,3,2,170,0,6,0.1,0.1,521.9,1808.06,2550.0,163.5
1,1,3,10,1000,0.003,0.25,0.2,6,2,2,170,0,6,0.1,0.1,172.06,1524.12,2550.0,296.2
1,1,3,10,1000,0.003,0.25,0.2,6,3,2,170,0,6,0.1,0.1,448.4,1818.04,2550.0,201.58
1,1,3,10,1000,0.003,0.25,0.2,1,1,2,170,0,7,0.1,0.1,557.86,2344.44,2550.0,233.38
1,1,3,10,1000,0.003,0.25,0.2,2,1,2,170,0,7,0.1,0.1,209.54,3386.32,2550.0,621.0
1,1,3,10,1000,0.003,0.25,0.2,3,2,2,170,0,7,0.1,0.1,479.6,1867.24,2550.0,159.08
1,1,3,10,1000,0.003,0.25,0.2,4,2,2,170,0,7,0.1,0.1,370.48,2072.12,2550.0,251.58
1,1,3,10,1000,0.003,0.25,0.2,5,2,2,170,0,7,0.1,0.1,221.74,1688.48,2550.0,261.4
